scenario,metric,sca_mean,sca_std,sdsca_mean,sdsca_std,improvement_pct,p_value,significance,verdict
1,APDE,79.27637293131771,8.53970286426751,15.876935196351461,1.7997699219264478,79.97267709244635,0.05,ns,No significant difference
1,AUGD,19974.441529485975,269.7652083810103,16712.20604842954,27.295804792736728,16.332048514301498,0.05,ns,No significant difference
1,total_fitness,20503.897955414064,278.03325727102134,17176.9922869537,28.06208378151062,16.225722912271383,0.05,ns,No significant difference
1,AET,133.85704930623373,6.670711490352478,129.30562154452005,9.529295606703187,3.400215218625563,0.2,ns,No significant difference
2,APDE,44.7939732460963,3.2692844400319245,11.58704777064487,0.8991457035286722,74.13257424835682,0.05,ns,No significant difference
2,AUGD,14311.003828997762,115.86465040765337,13149.937779898419,109.48802541387482,8.113099982174038,0.05,ns,No significant difference
2,total_fitness,14778.391907439023,118.52303918812059,13584.019425211583,111.36990210811773,8.081883940472757,0.05,ns,No significant difference
2,AET,119.60264007250468,1.6547468502600418,155.44946734110513,50.03141213720748,-29.971602003826703,0.9,ns,No significant difference
3,APDE,540.3281616374469,28.2142305534915,191.39919636364166,7.400412564956554,64.57723103241322,0.05,ns,No significant difference
3,AUGD,112839.47099128155,172.69587895708108,94263.7200387561,288.95139946479213,16.462103897988573,0.05,ns,No significant difference
3,total_fitness,814829.4233685195,161.81924870949675,762571.9520439295,46898.30504317987,6.413301953255039,0.05,ns,No significant difference
3,AET,998.5699617862701,7.922782452634408,816.6534621715546,16.230651197948507,18.217701971457085,0.05,ns,No significant difference
